,0,1,2,3,4,5
57,"Acido laurico, g",0.00,AA,123220,,
58,"Acido miristico, g",0.34,AA,123220,,
59,"Acido palmitico, g",0.91,AA,123220,,
60,"Acido stearico, g",0.19,AA,123220,,
61,"Acido arachidico, g",0.00,AA,123220,,
62,"Acido beenico, g",0.00,AA,123220,,
63,"Acidi grassi monoinsaturi totali, g",2.13,AA,123220,,
64,"Acido miristoleico, g",0.00,AA,123220,,
65,"Acido palmitoleico, g",0.57,AA,123220,,
66,"Acido oleico, g",1.12,AA,123220,,
67,"Acidi eicosenoico, g",0.37,AA,123220,,
68,"Acido erucico, g",0.07,AA,123220,,
69,"Acidi grassi polinsaturi totali, g",2.56,AA,123220,,
70,"Acido linoleico, g",0.37,AA,123220,,
71,"Acido linolenico, g",0.02,AA,123220,,
72,"Acido arachidonico, g",0.37,AA,123220,,
73,"Acido eicosapentaenoico (EPA), g",0.48,AA,123220,,
74,"Acido decosaesaenoico (DHA), g",0.78,AA,123220,,
75,"Altri acidi grassi polinsaturi, g",0.54,86,,,
76,AMINOACIDI,,,,,
77,"Triptofano, mg",238,AG,15031,3A,"Grouper, mixed species, raw prot 19.38, Triptofano217, Treonina849, Isoleucina893, Leucina1575, Lisina1779, Metionina574, Cistina208, Fenilalanina756, Tirosina654, Valina998, Arginina1159, Istidina570, Alanina1172, Acido aspartico1984, Acido glutammico2892, Glicina930, Prolina685, Serina791"
78,"Treonina, mg",933,AG,15031,3A,
79,"Isoleucina, mg",981,AG,15031,3A,
80,"Leucina, mg",1731,AG,15031,3A,
81,"Lisina, mg",1955,AG,15031,3A,
82,"Metionina, mg",631,AG,15031,3A,
83,"Cistina, mg",229,AG,15031,3A,
84,"Fenilalanina, mg",831,AG,15031,3A,
85,"Tirosina, mg",719,AG,15031,3A,
86,"Valina, mg",1097,AG,15031,3A,
87,"Arginina, mg",1274,AG,15031,3A,
88,"Istidina, mg",626,AG,15031,3A,
89,"Alanina, mg",1288,AG,15031,3A,
90,"Acido aspartico, mg",2181,AG,15031,3A,
91,"Acido glutammico, mg",3179,AG,15031,3A,
92,"Glicina, mg",1022,AG,15031,3A,
93,"Prolina, mg",753,AG,15031,3A,
94,"Serina, mg",869,AG,15031,3A,
95,ZUCCHERI,,,,,
96,"Glucosio, g",0.8,87,,,
97,"Fruttosio, g",0.0,87,,,
98,"Galattosio, g",0.0,87,,,
99,"Saccarosio (MSE), g",0.0,87,,,
100,"Maltosio (MSE), g",0.0,87,,,
101,"Lattosio (MSE), g",0.0,87,,,
